dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-forestnet,intrinsic_dim,id_TwoNN_train,6.835233211517334,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,"blue,green,red,nir",12,-6,4,40,True,200,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_MLE_train,6.517507553100586,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,"blue,green,red,nir",12,-6,4,40,True,200,,,,,,,,,,,,
m-forestnet,intrinsic_dim,id_lPCA_train,8.0,0.0,0.0,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,"blue,green,red,nir",12,-6,4,40,True,200,,,,,,,,,,,,
resisc45,intrinsic_dim,id_TwoNN_train,10.274917602539062,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,rgb,45,5104ce4fb13fede9,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_MLE_train,9.244943618774414,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,rgb,45,5104ce4fb13fede9,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,id_lPCA_train,6.0,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,rgb,45,5104ce4fb13fede9,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_effective_rank_train,5.891806564211769,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,rgb,45,5104ce4fb13fede9,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_participation_ratio_train,3.6749123744588554,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,rgb,45,5104ce4fb13fede9,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc1_variance_ratio_train,0.4544731288315516,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,rgb,45,5104ce4fb13fede9,-6,4,40,True,200,,,,,,,,,,,,,,
resisc45,intrinsic_dim,spectrum_pc10_variance_ratio_train,0.9637710973836954,0.0,0.0,128,,,,18900,6300,6300,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano_naip_rgb,bandspec_zscore,,bilinear,default,rgb,45,5104ce4fb13fede9,-6,4,40,True,200,,,,,,,,,,,,,,
