dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
burn_scars,seg-linear,mIoU,0.7873823046684265,0.0,0.0,2816,,0.001,16,524,160,120,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.8852362036705017,0.9055583477020264,0.8335971832275391,0.8610910773277283,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.2630633115768432,0.0,0.0,1920,,0.001,8,700,100,200,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3826913237571716,0.4243732094764709,0.3726077079772949,0.3641607165336609,,,,,,,,
pastis,seg-conv_block,mIoU,0.1104593276977539,0.0,0.0,2816,,0.001,16,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3591844737529754,0.2289559245109558,0.1634040921926498,0.1709013730287552,,,,,,,,
fotw,seg-linear,mIoU,0.5411128401756287,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7069857120513916,0.6852068901062012,0.6365916728973389,0.6337597966194153,,,,,,,,
fotw,seg-linear,mIoU,0.5297608375549316,0.0,0.0,3840,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,resnet50,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.7079446315765381,0.683173418045044,0.6118329763412476,0.6226669549942017,,,,,,,,
dynamic_earthnet,seg-dpt,mIoU,0.2151053845882415,0.0,0.0,1440,,0.001,16,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_tiny,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3337001204490661,0.4681212902069092,0.3083702027797699,0.3175432085990906,,,,,,,,
caffe,seg-conv_block,mIoU,0.5448809862136841,0.0,0.0,2816,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,densenet121,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.5628896951675415,0.7052347660064697,0.675673246383667,0.6734769940376282,,,,,,,,
caffe,seg-linear,mIoU,0.5335366129875183,0.0,0.0,616,,0.001,16,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.5590928792953491,0.6784082651138306,0.6734645962715149,0.6628743410110474,,,,,,,,
dynamic_earthnet,seg-conv_block,mIoU,0.324737399816513,0.0,0.0,2880,,0.001,8,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.4331477880477905,0.5755587816238403,0.422912061214447,0.458864152431488,,,,,,,,
caffe,seg-linear,mIoU,0.5764601826667786,0.0,0.0,960,,0.001,12,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.6107527017593384,0.7036140561103821,0.7258472442626953,0.7038713693618774,,,,,,,,
cloudsen12,seg-linear,mIoU,0.3780053257942199,0.0,0.0,616,,0.001,16,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,efficientnet_b0,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.5543454885482788,0.6527155041694641,0.4741840362548828,0.4873327910900116,,,,,,,,
pastis,seg-conv_block,mIoU,0.1082177609205246,0.0,0.0,960,,0.001,12,1455,482,496,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3558474481105804,0.236539676785469,0.1589960157871246,0.1683646142482757,,,,,,,,
dynamic_earthnet,seg-linear,mIoU,0.2530286908149719,0.0,0.0,1920,,0.001,8,700,100,200,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3583441376686096,0.4568021297454834,0.3725839257240295,0.3805084824562073,,,,,,,,
pastis,seg-conv_block,mIoU,0.0877262130379676,0.0,0.0,1920,,0.001,8,1455,482,496,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.3239729702472687,0.1747256219387054,0.1335737258195877,0.1364004462957382,,,,,,,,
dynamic_earthnet,seg-fpn,mIoU,0.276497483253479,0.0,0.0,2880,,0.001,8,700,100,200,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,-6,4,40,True,200,0.3977465033531189,0.5145039558410645,0.3777069449424743,0.3901841640472412,,,,,,,,
cloudsen12,seg-conv_block,mIoU,0.6440168619155884,0.0,0.0,960,,0.001,12,4000,535,975,0,torchgeo_bench.models.TimmPatchBenchModel,maxvit_tiny_tf_224,bandspec_zscore,224,bilinear,default,rgb,-6,4,40,True,200,0.7652732133865356,0.7921831607818604,0.7501168251037598,0.7672992944717407,,,,,,,,
