model,model_config,dataset,bands,variant,epochs,lr,lr_scheduler,probe_batch_size,test_miou,test_fw_iou,test_precision,test_recall,test_f1,best_val_epoch,best_val_miou,final_val_miou,drop_from_best_val,baseline_test_miou,delta_vs_baseline,baseline_final_val_miou,delta_vs_baseline_final_val
convnext_large_dinov3,timm/convnext_large_dinov3,burn_scars,all,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.8937009572982788,0.947303295135498,0.951900839805603,0.931494951248169,0.9410126209259032,10,0.866,0.866,0.0,0.8937009572982788,0.0,0.866,0.0
convnext_large_dinov3,timm/convnext_large_dinov3,burn_scars,all,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.9051717519760132,0.9507144093513488,0.9640704989433287,0.9327802658081056,0.947439432144165,26,0.8858,0.8832,0.0026000000000000467,0.8937009572982788,0.011470794677734375,0.866,0.017199999999999993
convnext_large_dinov3,timm/convnext_large_dinov3,burn_scars,all,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.9021622538566588,0.9506906270980836,0.9578838348388672,0.9354445934295654,0.945987343788147,28,0.8826,0.8784,0.0042000000000000925,0.8937009572982788,0.008461296558380016,0.866,0.012399999999999967
convnext_large_dinov3,timm/convnext_large_dinov3,burn_scars,all,constant_30ep_1e-3,30,0.001,none,8,0.9031320810317992,0.9505395889282228,0.9607812166213988,0.933099627494812,0.9465157985687256,30,0.887,0.887,0.0,0.8937009572982788,0.009431123733520397,0.866,0.02100000000000002
convnext_large_dinov3,timm/convnext_large_dinov3,burn_scars,all,high_lr_30ep_cosine_3e-3,30,0.003,cosine,8,0.8876528143882751,0.9431315064430236,0.9442805051803588,0.9307651519775392,0.937113344669342,28,0.8721,0.8674,0.0047000000000000375,0.8937009572982788,-0.006048142910003662,0.866,0.0013999999999999568
convnext_large_dinov3,timm/convnext_large_dinov3,burn_scars,all,long_50ep_cosine_1e-3,50,0.001,cosine,8,0.8995827436447144,0.9476518630981444,0.9649192094802856,0.9258143305778505,0.943899631500244,38,0.886,0.8838,0.0021999999999999797,0.8937009572982788,0.005881786346435547,0.866,0.017800000000000038
convnext_large_dinov3,timm/convnext_large_dinov3,cloudsen12,rgb,baseline_10ep_cosine_1e-3,10,0.001,cosine,8,0.6643866896629333,0.7774145603179932,0.802072286605835,0.7717488408088684,0.7853246927261353,7,0.6845,0.6837,0.0008000000000000229,0.6643866896629333,0.0,0.6837,0.0
convnext_large_dinov3,timm/convnext_large_dinov3,cloudsen12,rgb,low_lr_30ep_cosine_3e-4,30,0.0003,cosine,8,0.66130530834198,0.7754971981048584,0.7937567234039307,0.7728410959243774,0.7824965119361877,23,0.6837,0.681,0.0026999999999999247,0.6643866896629333,-0.003081381320953369,0.6837,-0.0026999999999999247
convnext_large_dinov3,timm/convnext_large_dinov3,cloudsen12,rgb,long_30ep_cosine_1e-3,30,0.001,cosine,8,0.6598809361457825,0.7739850878715515,0.7904187440872192,0.773452877998352,0.7813808917999268,23,0.6829,0.6788,0.0040999999999999925,0.6643866896629333,-0.004505753517150879,0.6837,-0.0049000000000000155
convnext_large_dinov3,timm/convnext_large_dinov3,cloudsen12,rgb,constant_30ep_1e-3,30,0.001,none,8,0.6573255658149719,0.7731266021728516,0.7968862056732178,0.7651277780532837,0.7792657613754272,22,0.6816,0.6767,0.0049000000000000155,0.6643866896629333,-0.007061123847961426,0.6837,-0.007000000000000006
