dataset,model,C,log10_C,train_acc,val_acc,test_acc,feature_dim,n_train,n_val,n_test
m-brick-kiln,resnet18,1e-07,-7.0,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,1.7012542798525894e-07,-6.769230769230769,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,2.894266124716752e-07,-6.538461538461538,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,4.923882631706742e-07,-6.307692307692308,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,8.376776400682924e-07,-6.076923076923077,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,1.4251026703029992e-06,-5.846153846153846,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,2.4244620170823308e-06,-5.615384615384615,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,4.124626382901348e-06,-5.384615384615385,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,7.017038286703837e-06,-5.153846153846153,0.6638783774812455,0.6636636636636637,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,1.1937766417144358e-05,-4.923076923076923,0.6642103166699861,0.6646646646646647,0.6636636636636637,512,15063,999,999
m-brick-kiln,resnet18,2.030917620904739e-05,-4.692307692307692,0.6909646152824802,0.6976976976976977,0.6836836836836837,512,15063,999,999
m-brick-kiln,resnet18,3.455107294592218e-05,-4.461538461538462,0.7572860651928567,0.7777777777777778,0.7617617617617618,512,15063,999,999
m-brick-kiln,resnet18,5.878016072274912e-05,-4.230769230769231,0.8206200624045675,0.8368368368368369,0.8268268268268268,512,15063,999,999
m-brick-kiln,resnet18,0.0001,-4.0,0.862444400185886,0.8788788788788788,0.8648648648648649,512,15063,999,999
m-brick-kiln,resnet18,0.0001701254279852,-3.769230769230769,0.8881364933944101,0.90990990990991,0.8868868868868869,512,15063,999,999
m-brick-kiln,resnet18,0.0002894266124716,-3.5384615384615383,0.9076545176923588,0.924924924924925,0.905905905905906,512,15063,999,999
m-brick-kiln,resnet18,0.0004923882631706,-3.3076923076923075,0.9216623514572132,0.935935935935936,0.917917917917918,512,15063,999,999
